id,entity,metric,value,unit,observation_period,evidence_status,source_id,source_url,source_location,retrieved,notes
I_PRICE,IREN,unadjusted closing price,46.15,USD_per_share,2026-09-24,market_observation,IRENPRICE,https://stockanalysis.com/stocks/iren/history/,Historical daily row,2026-09-26,Frozen completed session selected during the following live session; not September 26 trading or a final September 25 close. Historical-price page is revisable.
M_PRICE,Microsoft,unadjusted closing price,497.93,USD_per_share,2026-09-24,market_observation,MSPRICE,https://stockanalysis.com/stocks/msft/history/,Historical daily row,2026-09-26,Frozen completed session selected during the following live session; not September 26 trading or a final September 25 close. Historical-price page is revisable.
N_PRICE,NVIDIA,unadjusted closing price,224.58,USD_per_share,2026-09-24,market_observation,NVPRICE,https://stockanalysis.com/stocks/nvda/history/,Historical daily row,2026-09-26,Frozen completed session selected during the following live session; not September 26 trading or a final September 25 close. Historical-price page is revisable.
I_SHARES,IREN,ordinary shares outstanding,394.058648,million_shares,2026-08-14,reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,cover,2026-09-26,Dated count paired with later price; not a same-date fully diluted capitalization.
M_SHARES,Microsoft,common shares outstanding,7425.545491,million_shares,2026-07-23,reported_actual,MSK,https://microsoft.gcs-web.com/static-files/8a9beeed-0e9e-48e6-b4fb-593d558e2693,cover,2026-09-26,No claim that this count is exactly unchanged at the price date.
I_CASH,IREN,unrestricted cash,5.895591,USD_billion,2026-06-30,reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,balance sheet,2026-09-26,"June balance, not September liquidity; credit once."
I_RESTRICTED,IREN,restricted cash total,1.723936,USD_billion,2026-06-30,reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,balance sheet,2026-09-26,"1.670252 current plus 0.053684 noncurrent. Separate conditional resource, not free cash in the basic bridge."
I_LEASE_DEBT,IREN,finance lease liabilities,0.243796,USD_billion,2026-06-30,reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,balance sheet,2026-09-26,0.125340 current plus 0.118456 noncurrent.
I_CONVERT_FACE,IREN,convertible notes principal,6.745699,USD_billion,2026-06-30,reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 23,2026-09-26,"Face principal, not discounted carrying value or market price."
I_DDTL_DRAW,IREN,GPU DDTL drawn,0.413,USD_billion,2026-06-30,reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 23,2026-09-26,"Drawn, not full 1.545 commitment."
I_NOTE_DRAW,IREN,GPU notes funded,0.525,USD_billion,2026-06-30,reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 23,2026-09-26,Escrow and release conditions apply.
I_2029_FACE,IREN,2029 convertible face,0.233389,USD_billion,2026-06-30,reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 23,2026-09-26,Conversion and repayment of the same principal are alternatives.
I_2030_FACE,IREN,2030 convertible face,0.21231,USD_billion,2026-06-30,reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 23,2026-09-26,Conversion and repayment of the same principal are alternatives.
I_DEFERRED_LEASE,IREN,lease advances received before commencement,1.62348,USD_billion,2026-06-30,reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 20,2026-09-26,"Group aggregate, not wholly allocated to Childress or earned revenue."
I_DEFERRED_TOTAL,IREN,total deferred revenue,1.842546,USD_billion,2026-06-30,reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 20,2026-09-26,Includes amounts received or receivable under ASC 606; do not label it all cash received.
I_COMMIT_1Y,IREN,capital commitments due within twelve months,13.611035,USD_billion,2026-06-30,reported_future_commitment,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 29,2026-09-26,Group-wide; not all Childress or all incurred payables.
I_COMMIT_TOTAL,IREN,capital commitments,13.810037,USD_billion,2026-06-30,reported_future_commitment,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 29,2026-09-26,Signed before June; do not add to a model already charging the same purchases.
I_DERIVATIVE,IREN,derivative assets,0.415641,USD_billion,2026-06-30,reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Notes 17 and 18,2026-09-26,Includes 0.4125 later capped calls and 0.003141 rate hedges; not cash.
I_CAPPED_BOOK,IREN,later capped-call carrying value,0.4125,USD_billion,2026-06-30,reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Notes 17 and 18,2026-09-26,Older 2029/2030 calls reclassified to equity; not included here.
I_CASHFLOW,IREN,operating cash flow,2.100418,USD_billion,FY2026 ended 2026-06-30,reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,cash-flow / income statements; Note 4,2026-09-26,Affected by advances; not a recurring margin.
I_REV,IREN,total revenue,0.707007,USD_billion,FY2026 ended 2026-06-30,reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,cash-flow / income statements; Note 4,2026-09-26,Bitcoin and cloud; not pure AI revenue.
I_AI_REV,IREN,AI cloud revenue,0.128795,USD_billion,FY2026 ended 2026-06-30,reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,cash-flow / income statements; Note 4,2026-09-26,Not a full mature Microsoft cohort; no lease revenue for uncommenced arrangements.
I_SGA,IREN,selling general and administrative expense,0.449115,USD_billion,FY2026 ended 2026-06-30,reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,cash-flow / income statements; Note 4,2026-09-26,Includes noncash items; not assumed equal to future cash overhead.
I_ATM_GROSS,IREN,cumulative ATM gross proceeds,2.492057,USD_billion,"2026-06-30, reiterated 2026-08-14",reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,share capital and Note 30,2026-09-26,Same June total reiterated with rounding in August; not a second post-June inflow.
I_ATM_SHARES,IREN,cumulative ATM shares sold,47.165838,million_shares,"2026-06-30, reiterated 2026-08-14",reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,share capital and Note 30,2026-09-26,Same cumulative June and August total; no second sale inferred.
I_MIRANTIS_CASH,IREN,Mirantis additional consideration approximately,0.04,USD_billion,2026-08-03,reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 30,2026-09-26,Cash and other consideration; not deducted twice from an updated cash balance.
I_MIRANTIS_SHARES,IREN,Mirantis issued shares approximately,12.6,million_shares,2026-08-03,reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 30,2026-09-26,Already in later August 14 count; do not add twice.
I_CEO_RSU,IREN,two CEO restricted-stock-unit awards,18.198656,million_shares,2026-07-01,contractual_term,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 30,2026-09-26,"Two grants of 9.099328m, conditional on vesting; not issued shares."
I_NV_RIGHTS,IREN,NVIDIA investment rights,30,million_shares,2026-05-07,contractual_term,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 25,2026-09-26,"Conditional five-year rights, not exercised shares."
I_NV_STRIKE,IREN,NVIDIA right strike,70,USD_per_share,2026-05-07,contractual_term,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 25,2026-09-26,Exercise adds both cash and shares. Zero intrinsic value is not zero option value.
I_2029_STRIKE,IREN,2029 conversion price,13.64,USD_per_share,2026-06-30,contractual_term,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 23,2026-09-26,Initial conversion price; legal adjustments may apply.
I_2030_STRIKE,IREN,2030 conversion price,16.81,USD_per_share,2026-06-30,contractual_term,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 23,2026-09-26,Initial conversion price; legal adjustments may apply.
I_2029_CAP,IREN,2029 capped-call cap,20.98,USD_per_share,2026-06-30,contractual_term,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 17,2026-09-26,"Protection ceiling, not an appraisal or verified remaining hedge notional."
