id,entity,metric,period_start,period_end,value,unit,status,source_id,locator,source_url,notes
CW01,CoreWeave consolidated,revenue,2026-01-01,2026-06-30,4653,USD_million,reported_actual,CWQ,p.7,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,Not gross customer collections.
CW02,CoreWeave consolidated,operating_cash_flow,2026-01-01,2026-06-30,3663,USD_million,reported_actual,CWQ,p.10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,Consolidated; includes working capital and expensed cash interest.
CW03,CoreWeave consolidated,cash_property_equipment,2026-01-01,2026-06-30,14117,USD_million,reported_actual,CWQ,p.10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,Includes capitalized internal-use software; not an identified AI-only investment cohort.
CW04,CoreWeave consolidated,principal_repayments_cash,2026-01-01,2026-06-30,5219,USD_million,reported_actual,CWQ,p.10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,"All cash repayments, not just recurring contractual amortization."
CW05,CoreWeave consolidated,cash_interest_net_capitalized,2026-01-01,2026-06-30,806,USD_million,reported_actual,CWQ,p.10; p.94,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,Cash operating interest; excludes capitalized cash interest.
CW06,CoreWeave consolidated,capitalized_cash_interest,2026-01-01,2026-06-30,176,USD_million,reported_actual,CWQ,Note 5; p.94,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,Included in total cash interest payments; do not also deduct it in non-interest PPE.
CW07,CoreWeave consolidated,investing_cash_flow,2026-01-01,2026-06-30,-14874,USD_million,reported_actual,CWQ,p.10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,Signed cash outflow.
CW08,CoreWeave consolidated,financing_cash_flow,2026-01-01,2026-06-30,13985,USD_million,reported_actual,CWQ,p.10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,Signed cash inflow; not customer revenue.
CW09,CoreWeave consolidated,net_debt_issuance_proceeds,2026-01-01,2026-06-30,16747,USD_million,reported_actual,CWQ,p.10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,Already part of financing cash flow.
CW10,CoreWeave consolidated,equity_issuance_net,2026-01-01,2026-06-30,2982,USD_million,reported_actual,CWQ,p.10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,"Private-placement financing, not customer demand."
CW11,CoreWeave consolidated,capped_call_purchases,2026-01-01,2026-06-30,492,USD_million,reported_actual,CWQ,p.10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,"Historical first-half outflow, distinct from the September estimate."
CW12,CoreWeave consolidated,other_financing_outflow,2026-01-01,2026-06-30,33,USD_million,reported_actual,CWQ,p.10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,Positive magnitude of cash use.
CW13,CoreWeave consolidated,accounts_receivable_cash_flow_change,2026-01-01,2026-06-30,607,USD_million,reported_actual,CWQ,p.10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,"Net cash-flow adjustment, not gross collections."
CW14,CoreWeave consolidated,deferred_revenue_cash_flow_change,2026-01-01,2026-06-30,1365,USD_million,reported_actual,CWQ,p.10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,Not all gross advances; not mechanically removed to label OCF recurring.
CW15,CoreWeave consolidated,revenue_from_opening_deferred,2026-01-01,2026-06-30,554,USD_million,reported_actual,CWQ,Note 2,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,Recognizing prior advances creates no second receipt.
CW16,CoreWeave consolidated,cash_including_restricted,,2026-06-30,6904,USD_million,reported_actual,CWQ,pp.4–5; Notes 2 and 10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,"Cash total includes restricted accounts, not unrestricted parent liquidity."
CW17,CoreWeave consolidated,cash_including_restricted,,2025-12-31,4130,USD_million,reported_actual,CWQ,pp.4–5; Notes 2 and 10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,Beginning first-half total.
CW18,CoreWeave consolidated,cash_and_equivalents,,2026-06-30,5524,USD_million,reported_actual,CWQ,pp.4–5; Notes 2 and 10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,Excludes separately reported restricted cash.
CW19,CoreWeave consolidated,restricted_cash_current,,2026-06-30,873,USD_million,reported_actual,CWQ,pp.4–5; Notes 2 and 10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,"Group-wide, not all attributable to DDTL 4.0."
CW20,CoreWeave consolidated,restricted_cash_noncurrent,,2026-06-30,507,USD_million,reported_actual,CWQ,pp.4–5; Notes 2 and 10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,Group-wide; not assumed usable for parent debt.
CW21,CoreWeave consolidated,debt_principal,,2026-06-30,35551,USD_million,reported_actual,CWQ,pp.4–5; Notes 2 and 10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,"Face principal, not carrying amount."
CW22,CoreWeave consolidated,debt_carrying_value,,2026-06-30,35068,USD_million,reported_actual,CWQ,pp.4–5; Notes 2 and 10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,After discounts and issuance costs.
CW23,CoreWeave consolidated,deferred_revenue_total,,2026-06-30,9692,USD_million,reported_actual,CWQ,pp.4–5; Notes 2 and 10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,"2686 current plus 7006 noncurrent; a stock, not a cash movement."
CW24,CoreWeave consolidated,deferred_revenue_total,,2025-12-31,8185,USD_million,reported_actual,CWQ,pp.4–5; Notes 2 and 10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,1709 current plus 6476 noncurrent.
CW25,CoreWeave consolidated,remaining_performance_obligations,,2026-06-30,103700,USD_million,reported_actual,CWQ,pp.4–5; Notes 2 and 10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,"Approximate billed and unbilled contracted revenue, not an unpaid cash receivable."
CW26,CoreWeave consolidated,principal_bucket_2026 remaining,,2026-06-30,4413,USD_million,reported_actual,CWQ,p.28 Note 10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,June schedule; annual bucket. No quarterly interpolation or post-June roll-forward.
CW27,CoreWeave consolidated,principal_bucket_2027,,2026-06-30,6184,USD_million,reported_actual,CWQ,p.28 Note 10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,June schedule; annual bucket. No quarterly interpolation or post-June roll-forward.
CW28,CoreWeave consolidated,principal_bucket_2028,,2026-06-30,4416,USD_million,reported_actual,CWQ,p.28 Note 10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,June schedule; annual bucket. No quarterly interpolation or post-June roll-forward.
CW29,CoreWeave consolidated,principal_bucket_2029,,2026-06-30,2421,USD_million,reported_actual,CWQ,p.28 Note 10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,June schedule; annual bucket. No quarterly interpolation or post-June roll-forward.
CW30,CoreWeave consolidated,principal_bucket_2030,,2026-06-30,3221,USD_million,reported_actual,CWQ,p.28 Note 10,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,June schedule; annual bucket. No quarterly interpolation or post-June roll-forward.
