instrument,principal_USD_millions,as_of,final_maturity,effective_interest_rate_percent_rounded,contractual_rate,security,recourse,guarantor,amortization,source_url,qualification
DDTL 1.0,1438,2026-03-31,2028-03,15,,Issuer describes DDTL underlying project assets and pledged contractual cash flows; full individual security schedules not reviewed.,Parent-guaranteed per Q1 indebtedness risk disclosure; full individual guarantee terms not reviewed.,"CoreWeave, Inc. parent; issuer states unconditional guarantee for earlier DDTL facilities.",Issuer describes amortization as contracted cash flows are generated; facility-specific principal schedule not reconstructed.,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000222/crwv-20260331.htm,Null means not established in this case; not unsecured or no guarantee. 
DDTL 2.0,4425,2026-03-31,2030-08,11,,Issuer describes DDTL underlying project assets and pledged contractual cash flows; full individual security schedules not reviewed.,Parent-guaranteed per Q1 indebtedness risk disclosure; full individual guarantee terms not reviewed.,"CoreWeave, Inc. parent; issuer states unconditional guarantee for earlier DDTL facilities.",Issuer describes amortization as contracted cash flows are generated; facility-specific principal schedule not reconstructed.,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000222/crwv-20260331.htm,Null means not established in this case; not unsecured or no guarantee. 
DDTL 2.1,3000,2026-03-31,2031-03,9,,Issuer describes DDTL underlying project assets and pledged contractual cash flows; full individual security schedules not reviewed.,Parent-guaranteed per Q1 indebtedness risk disclosure; full individual guarantee terms not reviewed.,"CoreWeave, Inc. parent; issuer states unconditional guarantee for earlier DDTL facilities.",Issuer describes amortization as contracted cash flows are generated; facility-specific principal schedule not reconstructed.,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000222/crwv-20260331.htm,Null means not established in this case; not unsecured or no guarantee. 
DDTL 3.0,1700,2026-03-31,2030-08,9,,Issuer describes DDTL underlying project assets and pledged contractual cash flows; full individual security schedules not reviewed.,Parent-guaranteed per Q1 indebtedness risk disclosure; full individual guarantee terms not reviewed.,"CoreWeave, Inc. parent; issuer states unconditional guarantee for earlier DDTL facilities.",Issuer describes amortization as contracted cash flows are generated; facility-specific principal schedule not reconstructed.,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000222/crwv-20260331.htm,Null means not established in this case; not unsecured or no guarantee. 
DDTL 4.0,1260,2026-03-31,2032-03,7,"{""floating"": ""Daily compounded SOFR + 2.25 percentage points, or alternative base rate + 1.25 percentage points"", ""fixed"": ""Applicable blended Treasury benchmark at borrowing + 2.00 percentage points"", ""undrawn_fee_percent_per_year"": 0.5, ""note"": ""Not one fixed rate for every borrowing; draw-specific fixed rates and benchmark resetting matter.""}","First-priority pledge of borrower equity and substantially all borrower/credit-party assets and controlled accounts; permitted liens, perfection timing and exclusions apply. Not a claim over every CoreWeave group asset.","Borrower/project obligations; limited parent carve-out guarantee, not ordinary blanket parent repayment guarantee","CoreWeave, Inc. for defined Guaranteed Obligations; subsidiary guarantees under collateral documentation","Monthly principal begins after specified commitment-termination, delayed-site or top-up events; residual due at maturity. Full Schedule 2.08/base-case amortization model not recovered.",https://www.sec.gov/Archives/edgar/data/1769628/000176962826000222/crwv-20260331.htm,Null means not established in this case; not unsecured or no guarantee. 
2030 senior notes,2000,2026-03-31,2030-06,10,,"Senior unsecured notes and subsidiary guarantees, as described for the note group in Q1 risk disclosure; individual indenture not audited.",Issuer obligation with described subsidiary guarantees; no lien priority inferred from senior label.,"Specified wholly owned domestic subsidiaries that guarantee the revolver, per issuer description; complete current list unverified.",,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000222/crwv-20260331.htm,Null means not established in this case; not unsecured or no guarantee. 
2031 senior notes,1750,2026-03-31,2031-02,10,,"Senior unsecured notes and subsidiary guarantees, as described for the note group in Q1 risk disclosure; individual indenture not audited.",Issuer obligation with described subsidiary guarantees; no lien priority inferred from senior label.,"Specified wholly owned domestic subsidiaries that guarantee the revolver, per issuer description; complete current list unverified.",,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000222/crwv-20260331.htm,Null means not established in this case; not unsecured or no guarantee. 
2031 convertible senior notes,2588,2026-03-31,2031-12,2,"{""coupon_percent"": 1.75, ""basis"": ""Issuer description in Q1 risk disclosure; distinct from rounded2% effective rate.""}","Senior unsecured notes and subsidiary guarantees, as described for the note group in Q1 risk disclosure; individual indenture not audited.",Issuer obligation with described subsidiary guarantees; no lien priority inferred from senior label.,"Specified wholly owned domestic subsidiaries that guarantee the revolver, per issuer description; complete current list unverified.",,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000222/crwv-20260331.htm,Null means not established in this case; not unsecured or no guarantee. 
Convertible promissory notes,171,2026-03-31,2026-04,7,,,,,,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000222/crwv-20260331.htm,Null means not established in this case; not unsecured or no guarantee. Same Q1 filing reports settlement in April 2026 by Class A shares. Historical principal maturity is not proof that equivalent cash was paid.
Revolving credit facility,1500,2026-03-31,2029-11,6,"{""interest_formula"": null, ""undrawn_fee_percent_per_year"": 0.25, ""basis"": ""Note10 reports undrawn fee; no coupon formula reconstructed.""}",Secured by pledges of certain assets according to Note10; full collateral schedule unverified.,,,,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000222/crwv-20260331.htm,Null means not established in this case; not unsecured or no guarantee. Q1 Note16 reports repayment of the March31 USD1500m balance in April. Future borrowing remains permitted; not a current-zero assertion.
OEM and software license financing,5036,2026-03-31,2026-07 to 2030-07,10,,,,,,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000222/crwv-20260331.htm,Null means not established in this case; not unsecured or no guarantee. 
Magnetar loan,281,2026-03-31,2029-01,12,,,,,,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000222/crwv-20260331.htm,Null means not established in this case; not unsecured or no guarantee. 
