entity,metric,period_start,period_end,value,unit,status,source_id,source_url,notes
Microsoft,revenue,2025-07-01,2026-06-30,331839,USD_million,reported,MSK,https://microsoft.gcs-web.com/static-files/8a9beeed-0e9e-48e6-b4fb-593d558e2693,"Whole-company figures, not AI-only."
Microsoft,operating_income,2025-07-01,2026-06-30,155237,USD_million,reported,MSK,https://microsoft.gcs-web.com/static-files/8a9beeed-0e9e-48e6-b4fb-593d558e2693,"Whole-company figures, not AI-only."
Microsoft,operating_cash_flow,2025-07-01,2026-06-30,182935,USD_million,reported,MSK,https://microsoft.gcs-web.com/static-files/8a9beeed-0e9e-48e6-b4fb-593d558e2693,"Whole-company figures, not AI-only."
Microsoft,cash_ppe,2025-07-01,2026-06-30,115948,USD_million,reported,MSK,https://microsoft.gcs-web.com/static-files/8a9beeed-0e9e-48e6-b4fb-593d558e2693,"Whole-company figures, not AI-only."
Microsoft,finance_lease_principal,2025-07-01,2026-06-30,3101,USD_million,reported,MSK,https://microsoft.gcs-web.com/static-files/8a9beeed-0e9e-48e6-b4fb-593d558e2693,"Whole-company figures, not AI-only."
Microsoft,stock_compensation,2025-07-01,2026-06-30,12405,USD_million,reported,MSK,https://microsoft.gcs-web.com/static-files/8a9beeed-0e9e-48e6-b4fb-593d558e2693,"Whole-company figures, not AI-only."
Microsoft,operating_cash_flow,2025-07-01,2025-12-31,80815,USD_million,reported,MSQ2,https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q2/press-release-webcast,Preceding July-December fiscal half; subtract from fiscal year to obtain January-June. Whole company.
Microsoft,cash_ppe,2025-07-01,2025-12-31,49270,USD_million,reported,MSQ2,https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q2/press-release-webcast,Preceding July-December fiscal half; subtract from fiscal year to obtain January-June. Whole company.
Alphabet,revenue,2025-01-01,2025-12-31,402836,USD_million,reported,GO25,https://s206.q4cdn.com/479360582/files/doc_financials/2025/q4/2025q4-alphabet-earnings-release.pdf,"Whole-company figures, not AI-only."
Alphabet,operating_income,2025-01-01,2025-12-31,129039,USD_million,reported,GO25,https://s206.q4cdn.com/479360582/files/doc_financials/2025/q4/2025q4-alphabet-earnings-release.pdf,"Whole-company figures, not AI-only."
Alphabet,operating_cash_flow,2025-01-01,2025-12-31,164713,USD_million,reported,GO25,https://s206.q4cdn.com/479360582/files/doc_financials/2025/q4/2025q4-alphabet-earnings-release.pdf,"Whole-company figures, not AI-only."
Alphabet,cash_ppe,2025-01-01,2025-12-31,91447,USD_million,reported,GO25,https://s206.q4cdn.com/479360582/files/doc_financials/2025/q4/2025q4-alphabet-earnings-release.pdf,"Whole-company figures, not AI-only."
Alphabet,revenue,2025-01-01,2025-06-30,186662,USD_million,reported,GOQ,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,Prior-year comparison in June 2026 filing. Whole company.
Alphabet,operating_income,2025-01-01,2025-06-30,61877,USD_million,reported,GOQ,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,Prior-year comparison in June 2026 filing. Whole company.
Alphabet,operating_cash_flow,2025-01-01,2025-06-30,63897,USD_million,reported,GOQ,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,Prior-year comparison in June 2026 filing. Whole company.
Alphabet,cash_ppe,2025-01-01,2025-06-30,39643,USD_million,reported,GOQ,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,Prior-year comparison in June 2026 filing. Whole company.
Alphabet,revenue,2026-01-01,2026-06-30,229692,USD_million,reported,GOQ,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,"Whole-company figures, not AI-only."
Alphabet,operating_income,2026-01-01,2026-06-30,80466,USD_million,reported,GOQ,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,"Whole-company figures, not AI-only."
Alphabet,operating_cash_flow,2026-01-01,2026-06-30,84859,USD_million,reported,GOQ,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,"Whole-company figures, not AI-only."
Alphabet,cash_ppe,2026-01-01,2026-06-30,80598,USD_million,reported,GOQ,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,"Whole-company figures, not AI-only."
Amazon,revenue,2025-07-01,2026-06-30,775680,USD_million,reported,AMrelease,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-Second-Quarter-Results/,"Reported trailing twelve months; cash purchases are gross. Company-defined FCF uses net purchases. Whole company, not AI-only."
Amazon,operating_income,2025-07-01,2026-06-30,93712,USD_million,reported,AMrelease,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-Second-Quarter-Results/,"Reported trailing twelve months; cash purchases are gross. Company-defined FCF uses net purchases. Whole company, not AI-only."
Amazon,operating_cash_flow,2025-07-01,2026-06-30,161403,USD_million,reported,AMrelease,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-Second-Quarter-Results/,"Reported trailing twelve months; cash purchases are gross. Company-defined FCF uses net purchases. Whole company, not AI-only."
Amazon,cash_ppe,2025-07-01,2026-06-30,173028,USD_million,reported,AMrelease,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-Second-Quarter-Results/,"Reported trailing twelve months; cash purchases are gross. Company-defined FCF uses net purchases. Whole company, not AI-only."
Amazon,ppe_disposal_proceeds_and_incentives,2025-07-01,2026-06-30,4021,USD_million,reported,AMrelease,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-Second-Quarter-Results/,"Reported trailing twelve months; cash purchases are gross. Company-defined FCF uses net purchases. Whole company, not AI-only."
Amazon,company_free_cash_flow,2025-07-01,2026-06-30,-7604,USD_million,reported,AMrelease,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-Second-Quarter-Results/,"Reported trailing twelve months; cash purchases are gross. Company-defined FCF uses net purchases. Whole company, not AI-only."
Amazon,operating_cash_flow,2026-01-01,2026-06-30,71419,USD_million,reported,AMrelease,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-Second-Quarter-Results/,"Whole-company figures, not AI-only."
Amazon,cash_ppe,2026-01-01,2026-06-30,98411,USD_million,reported,AMrelease,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-Second-Quarter-Results/,"Whole-company figures, not AI-only."
Meta,revenue,2025-01-01,2025-12-31,200966,USD_million,reported,ME25,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-Fourth-Quarter-and-Full-Year-2025-Results/default.aspx,"Whole-company figures, not AI-only."
Meta,operating_income,2025-01-01,2025-12-31,83276,USD_million,reported,ME25,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-Fourth-Quarter-and-Full-Year-2025-Results/default.aspx,"Whole-company figures, not AI-only."
Meta,operating_cash_flow,2025-01-01,2025-12-31,115800,USD_million,reported,ME25,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-Fourth-Quarter-and-Full-Year-2025-Results/default.aspx,"Whole-company figures, not AI-only."
Meta,cash_ppe,2025-01-01,2025-12-31,69691,USD_million,reported,ME25,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-Fourth-Quarter-and-Full-Year-2025-Results/default.aspx,"Whole-company figures, not AI-only."
Meta,revenue,2025-01-01,2025-06-30,89830,USD_million,reported,MErelease,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-Second-Quarter-2026-Results/default.aspx,Prior-year comparison in June 2026 release. Whole company.
Meta,operating_income,2025-01-01,2025-06-30,37997,USD_million,reported,MErelease,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-Second-Quarter-2026-Results/default.aspx,Prior-year comparison in June 2026 release. Whole company.
Meta,operating_cash_flow,2025-01-01,2025-06-30,49587,USD_million,reported,MErelease,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-Second-Quarter-2026-Results/default.aspx,Prior-year comparison in June 2026 release. Whole company.
Meta,cash_ppe,2025-01-01,2025-06-30,29479,USD_million,reported,MErelease,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-Second-Quarter-2026-Results/default.aspx,Prior-year comparison in June 2026 release. Whole company.
Meta,revenue,2026-01-01,2026-06-30,117111,USD_million,reported,MErelease,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-Second-Quarter-2026-Results/default.aspx,"Whole-company figures, not AI-only."
Meta,operating_income,2026-01-01,2026-06-30,41647,USD_million,reported,MErelease,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-Second-Quarter-2026-Results/default.aspx,"Whole-company figures, not AI-only."
Meta,operating_cash_flow,2026-01-01,2026-06-30,64088,USD_million,reported,MErelease,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-Second-Quarter-2026-Results/default.aspx,"Whole-company figures, not AI-only."
Meta,cash_ppe,2026-01-01,2026-06-30,49113,USD_million,reported,MErelease,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-Second-Quarter-2026-Results/default.aspx,"Whole-company figures, not AI-only."
CoreWeave,revenue,2026-01-01,2026-06-30,4653,USD_million,reported,CRrelease,https://investors.coreweave.com/news/news-details/2026/CoreWeave-Reports-Strong-Second-Quarter-2026-Results/default.aspx,"Consolidated. Adjusted EBITDA is a non-GAAP measure, not cash available after financing and asset purchases."
CoreWeave,operating_income,2026-01-01,2026-06-30,-193,USD_million,reported,CRrelease,https://investors.coreweave.com/news/news-details/2026/CoreWeave-Reports-Strong-Second-Quarter-2026-Results/default.aspx,"Consolidated. Adjusted EBITDA is a non-GAAP measure, not cash available after financing and asset purchases."
CoreWeave,net_income,2026-01-01,2026-06-30,-1366,USD_million,reported,CRrelease,https://investors.coreweave.com/news/news-details/2026/CoreWeave-Reports-Strong-Second-Quarter-2026-Results/default.aspx,"Consolidated. Adjusted EBITDA is a non-GAAP measure, not cash available after financing and asset purchases."
CoreWeave,adjusted_ebitda,2026-01-01,2026-06-30,2667,USD_million,reported,CRrelease,https://investors.coreweave.com/news/news-details/2026/CoreWeave-Reports-Strong-Second-Quarter-2026-Results/default.aspx,"Consolidated. Adjusted EBITDA is a non-GAAP measure, not cash available after financing and asset purchases."
CoreWeave,operating_cash_flow,2026-01-01,2026-06-30,3663,USD_million,reported,CRQ,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,"Consolidated. Cash investment includes capitalized software and mixed assets; used only as an illustrative investment scale, not a measured new GPU cohort."
