id,entity,metric,value,unit,period,status,source_id,source_url,locator,notes
IR_IT_MW,IREN / Microsoft Horizon 1–4,planned IT capacity,200,MW_IT,2025-11-03,company_project_plan,IREN_DECK,https://iren.gcs-web.com/static-files/a421bb34-0156-4687-be7d-19f53a5236e5,slide 5,Four planned 50-MW IT phases; not all accepted at the evidence cutoff.
IR_PHASES,IREN / Microsoft Horizon 1–4,planned phases,4,count,2025-11-03,company_project_plan,IREN_DECK,https://iren.gcs-web.com/static-files/a421bb34-0156-4687-be7d-19f53a5236e5,slide 5,Actual tranche GPU counts and detailed dates are redacted.
IR_GPU_CAPEX,IREN / Microsoft Horizon 1–4,GPU and ancillary acquisition budget,5800,USD_million,2025-11-03,company_cost_estimate,IREN_DECK,https://iren.gcs-web.com/static-files/a421bb34-0156-4687-be7d-19f53a5236e5,slide 4 footnote 1,Includes servers deployment InfiniBand cabling software/licensing; excludes facility capital. Not final as-built cost.
IR_DC_LOW,IREN / Microsoft Horizon 1–4,data-center cost low per IT MW,14,USD_million_per_MW_IT,2025-11-03,company_cost_estimate,IREN_DECK,https://iren.gcs-web.com/static-files/a421bb34-0156-4687-be7d-19f53a5236e5,slide 5,Original total facility estimate; not in addition to its listed subcomponents.
IR_DC_HIGH,IREN / Microsoft Horizon 1–4,data-center cost high per IT MW,16,USD_million_per_MW_IT,2025-11-03,company_cost_estimate,IREN_DECK,https://iren.gcs-web.com/static-files/a421bb34-0156-4687-be7d-19f53a5236e5,slide 5,Same cost perimeter as low estimate; excludes GPU bundle.
IR_DC_CORE_LOW,IREN / Microsoft Horizon 1–4,core infrastructure low,9,USD_million_per_MW_IT,2025-11-03,company_cost_estimate,IREN_DECK,https://iren.gcs-web.com/static-files/a421bb34-0156-4687-be7d-19f53a5236e5,slide 5,Component already inside the 14–16 total; do not add again.
IR_DC_CORE_HIGH,IREN / Microsoft Horizon 1–4,core infrastructure high,11,USD_million_per_MW_IT,2025-11-03,company_cost_estimate,IREN_DECK,https://iren.gcs-web.com/static-files/a421bb34-0156-4687-be7d-19f53a5236e5,slide 5,Component already inside the 14–16 total.
IR_DC_FLEX,IREN / Microsoft Horizon 1–4,density and supercluster enhancement,3,USD_million_per_MW_IT,2025-11-03,company_cost_estimate,IREN_DECK,https://iren.gcs-web.com/static-files/a421bb34-0156-4687-be7d-19f53a5236e5,slide 5,Included in 14–16; not an additional allowance.
IR_DC_ACCEL,IREN / Microsoft Horizon 1–4,accelerated delivery cost,2,USD_million_per_MW_IT,2025-11-03,company_cost_estimate,IREN_DECK,https://iren.gcs-web.com/static-files/a421bb34-0156-4687-be7d-19f53a5236e5,slide 5,Included in 14–16; not a residual-value estimate.
IR_TRANCHE_VALUE,IREN / Microsoft Horizon 1–4,aggregate tranche fees,9664.199424,USD_million,2025-11-02,executed_contract,IREN_SOW,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000015/exhibit103-partnerstatem.htm,Table 1,Model uses this smaller total; not recognized revenue or collected cash.
IR_TCV_CEILING,IREN / Microsoft Horizon 1–4,overall service fee ceiling,9666.8453376,USD_million,2025-11-02,executed_contract,IREN_SOW,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000015/exhibit103-partnerstatem.htm,section 3.2,Difference from tranche total is unallocated and unreconciled; not extra modeled revenue.
IR_FIRST_CREDIT_MONTH,IREN / Microsoft Horizon 1–4,first advance-credit month,25,service_month,2025-11-02,executed_contract,IREN_SOW,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000015/exhibit103-partnerstatem.htm,section 3.2(a)(iii),After 24 months; model spreads credit across 36 equal months.
IR_PREPAY,IREN / Microsoft Horizon 1–4,aggregate upfront payment,1932.8398848,USD_million,2025-11-02,contractual_obligation_not_receipt,IREN_SOW,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000015/exhibit103-partnerstatem.htm,Table 1; section 3.2(a)(iii),"20% of tranche fees; credited later. Modeled receipt at start is an assumption, not a verified payment date."
IR_MTH_EARLY,IREN / Microsoft Horizon 1–4,illustrated monthly payment first 24 months,161.1802368,USD_million,2025-11-02,contract_illustration,IREN_SOW,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000015/exhibit103-partnerstatem.htm,Table 1,Contract illustration uses calendar hours; not used as actual deposits or the normalized model schedule.
IR_MTH_LATE,IREN / Microsoft Horizon 1–4,illustrated monthly payment after month 24,107.19983811,USD_million,2025-11-02,contract_illustration,IREN_SOW,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000015/exhibit103-partnerstatem.htm,Table 1,Actual billing depends on accepted GPUs and calendar hours; not a fixed observed schedule.
IR_AVG_YEARS,IREN / Microsoft Horizon 1–4,average service term,5,years,2025-11-03,company_contract_summary,IREN_DECK,https://iren.gcs-web.com/static-files/a421bb34-0156-4687-be7d-19f53a5236e5,slide 4,Individual starts differ; synchronized five-year service equivalent is not a calendar forecast.
IR_PROJECT_MARGIN,IREN / Microsoft Horizon 1–4,estimated project EBITDA margin,0.85,ratio,2025-11-03,company_margin_estimate,IREN_DECK,https://iren.gcs-web.com/static-files/a421bb34-0156-4687-be7d-19f53a5236e5,slide 4 footnote 3,Includes power routine repairs maintenance and direct site costs; excludes other owner costs and capital recovery. Not complete cash margin.
IR_H1_ACCEPTED,IREN / Microsoft Horizon 1–4,Horizon 1 accepted phase count,1,count,2026-08,company_reported_subsequent_event,IREN_K,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Risk Factors; MD&A,August acceptance after equipment-related delays; not measured GPU load or collected fees.
IR_DDTL_LIMIT,IREN / Microsoft Horizon 1–4,term-loan commitment,1545,USD_million,2026-05-29,committed_conditional_draw,IREN_K,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 23,"IE US Hardware 3 LLC; facility ceiling, not drawn cash."
IR_NOTES_LIMIT,IREN / Microsoft Horizon 1–4,note financing commitment,2100,USD_million,2026-05-29,committed_conditional_funding,IREN_K,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 23,Separate notes; escrow release has conditions.
IR_DDTL_DRAW,IREN / Microsoft Horizon 1–4,loan funded at June balance date,413,USD_million,2026-06-30,reported_actual,IREN_K,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 23,"Not all committed financing, and not a September cash roll-forward."
IR_NOTES_ISSUED,IREN / Microsoft Horizon 1–4,notes issued at June balance date,525,USD_million,2026-06-30,reported_actual,IREN_K,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 23,Issued amount does not establish unrestricted availability; escrow conditions apply.
IR_NOTES_RATE,IREN / Microsoft Horizon 1–4,notes cash coupon,0.0596,annual_rate,2026-05-29,executed_contract,IREN_NOTES,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/a1036notepurchaseagreeme.htm,sections 1 and 8.1,"Applies to fixed notes, not every financing dollar."
IR_DDTL_SPREAD,IREN / Microsoft Horizon 1–4,loan spread above one-month Term SOFR,0.0225,annual_rate,2026-05-29,executed_contract,IREN_CREDIT,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/a1035creditagreement.htm,interest provisions,Base rate hedges and fees separate.
IR_FINANCE_RATE,IREN / Microsoft Horizon 1–4,weighted GPU financing rate excluding fees,0.06,annual_rate,2026-08-27,company_claim,IREN_FY,https://iren.gcs-web.com/static-files/1cb9f4da-d4c7-4510-8bda-e475022b59f5,page 1; note 5,Rounded company claim; constant 6% carrying-cost illustrations are not actual cash-interest forecasts.
IR_AI_FY_REV,IREN group,AI Cloud Services fiscal-year revenue,128.8,USD_million,2025-07-01/2026-06-30,reported_actual,IREN_FY,https://iren.gcs-web.com/static-files/1cb9f4da-d4c7-4510-8bda-e475022b59f5,financial results,Broader platform recognized revenue; not matched Microsoft cohort cash.
IR_AI_Q4_REV,IREN group,AI Cloud Services June-quarter revenue,70.5,USD_million,2026-04-01/2026-06-30,reported_actual,IREN_FY,https://iren.gcs-web.com/static-files/1cb9f4da-d4c7-4510-8bda-e475022b59f5,financial results,Fiscal fourth quarter; not calendar Q4 or the entire mature Microsoft cohort.
