observation_id,source_id,setting,entity_or_population,observation_period,source_date_or_version,metric,value,unit,qualifier,evidence_status,source_locator,source_url,limitation,access_date
SUP01,SUP,customer_support,Support agents in one employer network,2020–2021 rollout,v2 header 2024-11-06; internal date 2026-08-24,resolved_issues_per_hour_gain,0.15,fraction,approximately,study_estimate,Sections 3–4; Table 2,https://arxiv.org/html/2304.11771v2,"Main rollout 2020–21; sections 2–4 and Tables 1–3. Main evidence is a staggered rollout, not a full-workforce randomized trial. Header says November 2024; served manuscript bears an internal August 24, 2026 date. The discrepancy is unresolved.",2026-09-19
SUP02,SUP,customer_support,Support agents in one employer network,2020–2021 rollout,same served version,analyzed_agents,5172,persons,exact_reported,study_sample,Table 1; mostly outside the United States,https://arxiv.org/html/2304.11771v2,"Main rollout 2020–21; sections 2–4 and Tables 1–3. Main evidence is a staggered rollout, not a full-workforce randomized trial. Header says November 2024; served manuscript bears an internal August 24, 2026 date. The discrepancy is unresolved.",2026-09-19
COD01,CODE,coding,Microsoft; Accenture; anonymous Fortune 100 company,Experiments beginning 2022–2023,June 2025 author manuscript,analyzed_developers,4867,persons,exact_reported,study_sample,Abstract and sample construction,https://www.mertdemirer.com/Papers/Demirer_AI_productivity.pdf,"June 2025 author manuscript. Experiments began in 2022–23. Table 3, printed p12; quality discussion pp13–14; Appendix B, Table 5, p25. The main and appendix estimates have different populations and windows.",2026-09-19
COD02,CODE,coding,Developers induced to adopt by experimental assignment,2022–2023 experiment vintages,June 2025 author manuscript,completed_pull_requests_gain_weighted_IV,0.2608,fraction,point_estimate,study_estimate,Table 3 p12; section 4.4; not time saved or every offered seat,https://www.mertdemirer.com/Papers/Demirer_AI_productivity.pdf,"June 2025 author manuscript. Experiments began in 2022–23. Table 3, printed p12; quality discussion pp13–14; Appendix B, Table 5, p25. The main and appendix estimates have different populations and windows.",2026-09-19
COD03,CODE,coding,Same pooled weighted-IV estimate,same,June 2025 author manuscript,standard_error_of_COD02,0.103,fraction,standard_error,study_uncertainty,Table 3 p12; not confidence-interval half-width,https://www.mertdemirer.com/Papers/Demirer_AI_productivity.pdf,"June 2025 author manuscript. Experiments began in 2022–23. Table 3, printed p12; quality discussion pp13–14; Appendix B, Table 5, p25. The main and appendix estimates have different populations and windows.",2026-09-19
COD04,CODE,coding,Two-company early-window offer-of-access comparison,First 29 Microsoft and 21 Accenture weeks,June 2025 author manuscript,completed_pull_requests_gain_ITT,0.0466,fraction,point_estimate,study_estimate,Appendix B Table 5 p25; statistically inconclusive,https://www.mertdemirer.com/Papers/Demirer_AI_productivity.pdf,"June 2025 author manuscript. Experiments began in 2022–23. Table 3, printed p12; quality discussion pp13–14; Appendix B, Table 5, p25. The main and appendix estimates have different populations and windows.",2026-09-19
COD05,CODE,coding,Same early-window offer-of-access estimate,same,June 2025 author manuscript,standard_error_of_COD04,0.0356,fraction,standard_error,study_uncertainty,Appendix B Table 5 p25; not proof of zero effect,https://www.mertdemirer.com/Papers/Demirer_AI_productivity.pdf,"June 2025 author manuscript. Experiments began in 2022–23. Table 3, printed p12; quality discussion pp13–14; Appendix B, Table 5, p25. The main and appendix estimates have different populations and windows.",2026-09-19
MET01,METR25,coding,16 experienced open-source developers; 246 tasks,Early 2025,2025-07-10,task_completion_time_increase,0.19,fraction,point_estimate,randomized_study,Methodology and core result,https://metr.org/blog/2025-07-10-early-2025-ai-experienced-os-dev-study/,"Published 10 July 2025. Sixteen experienced maintainers, 246 tasks, familiar repositories and early-2025 tools; not a current universal effect.",2026-09-19
OFF01,OFFICE,office_assistance,Knowledge workers at 66 firms,September 2023–October 2024,v4 header 2025-11-13; internal date 2026-08-24,analyzed_workers,7137,persons,exact_reported,study_sample,Abstract; section 1,https://arxiv.org/html/2504.11436v4,"Experiments September 2023–October 2024; section 2.2.1, Table 2 and telemetry appendices. Header says November 2025; served manuscript bears an internal August 24, 2026 date. Version provenance is unresolved.",2026-09-19
OFF02,OFFICE,office_assistance,Workers assigned access,Post-assignment months 4–6,same served version,weekly_Outlook_time_reduction_ITT,1.4,hours_per_worker_week,approximately,randomized_study,Section 2.2.1; Table 2; not observed cash savings,https://arxiv.org/html/2504.11436v4,"Experiments September 2023–October 2024; section 2.2.1, Table 2 and telemetry appendices. Header says November 2025; served manuscript bears an internal August 24, 2026 date. Version provenance is unresolved.",2026-09-19
OFF03,OFFICE,office_assistance,Workers induced to use Copilot,Post-assignment months 4–6,same served version,weekly_Outlook_time_reduction_LATE,2.0,hours_per_worker_week,approximately,study_estimate,Section 2.2.1; Table 2; not every paid seat,https://arxiv.org/html/2504.11436v4,"Experiments September 2023–October 2024; section 2.2.1, Table 2 and telemetry appendices. Header says November 2025; served manuscript bears an internal August 24, 2026 date. Version provenance is unresolved.",2026-09-19
PRI01,FIN,customer_support,Intercom Fin buyer,Observed 2026-09-19,Live pricing page,listed_fee_per_billable_outcome,0.99,USD_per_outcome,list_price,vendor_pricing,Fin AI Agent and outcome definitions,https://www.intercom.com/pricing,"Vendor tariff inspected 19 September 2026. Published fee per billable outcome, not an average invoice or delivery cost. Confirmed/assumed resolutions and qualifying procedures or handoffs are not all avoided human work.",2026-09-19
PRI02,MPRICE,office_assistance,Microsoft 365 Copilot enterprise buyer,Observed 2026-09-19,Live enterprise pricing page,listed_monthly_license_fee,30,USD_per_user_month,annual_commitment_list_price,vendor_pricing,Enterprise pricing,https://www.microsoft.com/en-us/microsoft-365-copilot/pricing/enterprise,"Vendor tariff inspected 19 September 2026: $30 per user per month, annual commitment. Eligible base subscription required; discounts, bundles and additional consumption are separate.",2026-09-19
KLA01,KLARNA26,customer_support,Klarna Group plc,2026-04-01/2026-06-30,2026-08-18,total_revenue,1042,USD_million,reported,unaudited_interim_actual,p18 income statement; p17 reconciliation,https://s205.q4cdn.com/644747736/files/doc_earnings/2026/q2/earnings-result/Q2-26-Klarna-Group-plc-Earnings-Release.pdf,"18 August 2026. Unaudited income statement printed p18; reconciliation p17. Reported customer-service/operations expense is 58 and 51, not adjusted 57 and 48. Revenue is not support-contact volume.",2026-09-19
KLA02,KLARNA26,customer_support,Klarna Group plc,2025-04-01/2025-06-30,2026-08-18,total_revenue,823,USD_million,reported,unaudited_interim_actual,p18 comparative income statement,https://s205.q4cdn.com/644747736/files/doc_earnings/2026/q2/earnings-result/Q2-26-Klarna-Group-plc-Earnings-Release.pdf,"18 August 2026. Unaudited income statement printed p18; reconciliation p17. Reported customer-service/operations expense is 58 and 51, not adjusted 57 and 48. Revenue is not support-contact volume.",2026-09-19
KLA03,KLARNA26,customer_support,Klarna Group plc,2026-04-01/2026-06-30,2026-08-18,customer_service_and_operations_expense,58,USD_million,reported,unaudited_interim_actual,p18; expense magnitude; not adjusted 57,https://s205.q4cdn.com/644747736/files/doc_earnings/2026/q2/earnings-result/Q2-26-Klarna-Group-plc-Earnings-Release.pdf,"18 August 2026. Unaudited income statement printed p18; reconciliation p17. Reported customer-service/operations expense is 58 and 51, not adjusted 57 and 48. Revenue is not support-contact volume.",2026-09-19
KLA04,KLARNA26,customer_support,Klarna Group plc,2025-04-01/2025-06-30,2026-08-18,customer_service_and_operations_expense,51,USD_million,reported,unaudited_interim_actual,p18; expense magnitude; not adjusted 48,https://s205.q4cdn.com/644747736/files/doc_earnings/2026/q2/earnings-result/Q2-26-Klarna-Group-plc-Earnings-Release.pdf,"18 August 2026. Unaudited income statement printed p18; reconciliation p17. Reported customer-service/operations expense is 58 and 51, not adjusted 57 and 48. Revenue is not support-contact volume.",2026-09-19
KLA05,KLARNA24,customer_support,Klarna AI assistant,Forecast for calendar 2024,2024-02-27,expected_profit_improvement,40,USD_million,forecast_not_actual,buyer_forecast,Launch announcement,https://www.klarna.com/international/press/klarna-ai-assistant-handles-two-thirds-of-customer-service-chats-in-its-first-month/,"27 February 2024. Buyer claims about workload and quality; the $40m profit improvement was a forecast for 2024, not an actual-results disclosure.",2026-09-19
RAM01,RAMPFEB,cross_application,Tracked OpenAI and Anthropic business buyers,January 2026,2026-02-11,monthly_business_churn,0.04,fraction,approximately_for_each_vendor,payment_panel_statistic,Retention discussion; not annual renewal,https://ramp.com/data/ai-index-february-2026,"11 February 2026, January observations. Roughly 4% monthly business-count churn and 79% cross-provider buying among Anthropic-paying businesses. Not dollar retention or annual renewal.",2026-09-19
RAM02,RAMPFEB,cross_application,Tracked businesses paying Anthropic,January 2026,2026-02-11,also_paying_OpenAI,0.79,fraction,reported,payment_panel_statistic,Cross-provider adoption; not revenue share,https://ramp.com/data/ai-index-february-2026,"11 February 2026, January observations. Roughly 4% monthly business-count churn and 79% cross-provider buying among Anthropic-paying businesses. Not dollar retention or annual renewal.",2026-09-19
RAM03,RAMPSEP,cross_application,Ramp tracked-business subpanel,2026-03,2026-09-09,effective_price_per_million_tokens,1.15,USD_per_million_tokens,reported,payment_panel_statistic,March peak used in September article,https://ramp.com/data/ai-index-sept-2026,"9 September 2026. Effective token price is mix-sensitive. The July top-one-percent spending value was revised to $7,976 from about $7,400. The ranked tail is not a fixed matched cohort; composition, volatility and seasonality matter.",2026-09-19
RAM04,RAMPSEP,cross_application,Ramp tracked-business subpanel,Week of 2026-09-09,2026-09-09,effective_price_per_million_tokens,0.68,USD_per_million_tokens,reported,payment_panel_statistic,Effective token price; not fixed-quality price,https://ramp.com/data/ai-index-sept-2026,"9 September 2026. Effective token price is mix-sensitive. The July top-one-percent spending value was revised to $7,976 from about $7,400. The ranked tail is not a fixed matched cohort; composition, volatility and seasonality matter.",2026-09-19
RAM05,RAMPSEP,cross_application,Ramp tracked-business subpanel,2026-07,2026-09-09,top_one_percent_median_AI_spend_per_employee,7976,USD_per_employee_month,reported_revised,payment_panel_statistic,Revised July; initial estimate about 7400; ranked tail not fixed cohort,https://ramp.com/data/ai-index-sept-2026,"9 September 2026. Effective token price is mix-sensitive. The July top-one-percent spending value was revised to $7,976 from about $7,400. The ranked tail is not a fixed matched cohort; composition, volatility and seasonality matter.",2026-09-19
RAM06,RAMPSEP,cross_application,Ramp tracked-business subpanel,2026-08,2026-09-09,top_one_percent_median_AI_spend_per_employee,7205,USD_per_employee_month,reported,payment_panel_statistic,Volatile ranked tail,https://ramp.com/data/ai-index-sept-2026,"9 September 2026. Effective token price is mix-sensitive. The July top-one-percent spending value was revised to $7,976 from about $7,400. The ranked tail is not a fixed matched cohort; composition, volatility and seasonality matter.",2026-09-19
MS01,MSCALL,office_assistance,Microsoft 365 Copilot,Quarter ended 2026-06-30; reported 2026-07-29,2026-07-29,paid_seats,30,million_seats,greater_than,company_claim,Knowledge-work remarks; not list price times seats,https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q4,"29 July 2026. More than 30m paid Microsoft 365 Copilot seats, customer expansion and GitHub consumption/margin commentary are company disclosures. Not standalone product cash margins or matched renewal cohorts.",2026-09-19
OAI01,OAIWORK,office_assistance,Selected active individual accounts linked to Business onboarding roles,2026-04/2026-07,2026-09-16,cross_occupation_task_next_month_recurrence_prior_use,0.236,fraction,reported,observational_usage_study,Figure 4 p7; methods pp10–11; no Business-account messages,https://cdn.openai.com/pdf/work-at-the-frontier-report-202609.pdf,Released 16 September 2026; April–July observations. Figure 4 p7; methods pp10–11. Individual-account messages linked to Business onboarding metadata; Business-account messages excluded. Selected persistent users and nonrandom matching.,2026-09-19
OAI02,OAIWORK,office_assistance,Matched selected users without prior recorded task use,2026-04/2026-07,2026-09-16,cross_occupation_task_next_month_recurrence_no_prior_use,0.084,fraction,reported,observational_usage_study,Figure 4 p7; methods pp10–11; nonrandom matching,https://cdn.openai.com/pdf/work-at-the-frontier-report-202609.pdf,Released 16 September 2026; April–July observations. Figure 4 p7; methods pp10–11. Individual-account messages linked to Business onboarding metadata; Business-account messages excluded. Selected persistent users and nonrandom matching.,2026-09-19
